instance_id,scale,CF_level,operation_count,method,display_method,seed_count,median_rpd_percent,median_runtime_seconds,median_runtime_budget_fraction,median_time_to_best_seconds,median_time_to_best_budget_fraction,median_decoder_evaluations
CB1_CORE_M_CF2_R01,M,CF2,122,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,7.6215505913272015,32.73753515101271,0.1341702260287406,30.77666701702401,0.1261338812173115,4040.0
CB1_CORE_M_CF2_R02,M,CF2,115,Adapted DCGA,DCGA,5,25.617889368379757,260.6531611929822,1.1332746138825314,177.7491943220084,0.7728225840087322,3994.0
CB1_CORE_M_CF2_R02,M,CF2,115,CSG-NI Phase6H provisional,CSG-NI,5,3.2561788936837974,230.00510496099014,1.0000221954825659,184.8450629709987,0.8036741868304291,16578.0
CB1_CORE_M_CF2_R02,M,CF2,115,DABC-RIACRSP,DABC,5,16.084739113377797,230.00524613802554,1.0000228092957633,219.51495463395258,0.9544128462345765,20081.0
CB1_CORE_M_CF2_R02,M,CF2,115,GA,GA,5,11.023930953315025,230.01155483702314,1.0000502384218397,221.84860431097331,0.9645591491781449,13137.0
CB1_CORE_M_CF2_R02,M,CF2,115,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,5.374656728128678,29.667868579970673,0.12899073295639424,24.62402230896987,0.10706096656073856,4040.0
CB1_CORE_M_CF2_R03,M,CF2,122,Adapted DCGA,DCGA,5,22.581755593803788,272.925830297987,1.1185484848278155,183.89729903198895,0.7536774550491351,3994.0
CB1_CORE_M_CF2_R03,M,CF2,122,CSG-NI Phase6H provisional,CSG-NI,5,4.509466437177281,244.00408833799884,1.0000167554836017,171.01655121997464,0.700887504999896,16639.0
CB1_CORE_M_CF2_R03,M,CF2,122,DABC-RIACRSP,DABC,5,14.044750430292599,244.00426147604594,1.000017465065762,227.28804584499449,0.9315083846106331,19008.0
CB1_CORE_M_CF2_R03,M,CF2,122,GA,GA,5,6.953528399311532,244.01094999999623,1.0000448770491648,229.66479319302016,0.9412491524304105,10668.0
CB1_CORE_M_CF2_R03,M,CF2,122,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,3.5800344234079176,32.780537883983925,0.13434646673763903,29.729015909018926,0.12184022913532347,4040.0
CB1_CORE_M_CF2_R04,M,CF2,125,Adapted DCGA,DCGA,5,23.334472155790912,273.568690746004,1.094274762984016,241.11267659501755,0.9644507063800701,3994.0
CB1_CORE_M_CF2_R04,M,CF2,125,CSG-NI Phase6H provisional,CSG-NI,5,5.022207037922787,250.0060312319547,1.0000241249278188,182.30731005698908,0.7292292402279563,16529.0
CB1_CORE_M_CF2_R04,M,CF2,125,DABC-RIACRSP,DABC,5,13.358387427400068,250.00371517101303,1.0000148606840522,244.4202060729731,0.9776808242918924,18791.0
CB1_CORE_M_CF2_R04,M,CF2,125,GA,GA,5,4.988042364195422,250.0158162349835,1.000063264939934,206.48743905097945,0.8259497562039178,10397.0
CB1_CORE_M_CF2_R04,M,CF2,125,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,3.3823026990092244,34.747783898958005,0.138991135595832,34.37122702895431,0.13748490811581723,4040.0
CB1_CORE_M_CF2_R05,M,CF2,115,Adapted DCGA,DCGA,5,13.572790845518119,258.73036503899493,1.1249146306043258,207.35071502500796,0.9015248479348172,3994.0
CB1_CORE_M_CF2_R05,M,CF2,115,CSG-NI Phase6H provisional,CSG-NI,5,1.3986013986013985,230.03312069899403,1.0001440030391044,141.18832783598918,0.6138622949390834,16666.0
CB1_CORE_M_CF2_R05,M,CF2,115,DABC-RIACRSP,DABC,5,11.760966306420851,230.00240992102772,1.0000104779175119,222.3209141169791,0.9666126700738222,20170.0
CB1_CORE_M_CF2_R05,M,CF2,115,GA,GA,5,5.816910362364908,230.00635884099756,1.000027647134772,189.46924712098553,0.8237793353086328,11415.0
CB1_CORE_M_CF2_R05,M,CF2,115,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,6.198347107438017,29.80165916099213,0.1295724311347484,23.62449200201081,0.10271518261743831,4040.0
CB1_CORE_M_CF3_R01,M,CF3,111,Adapted DCGA,DCGA,5,26.581804567577688,248.43565490000765,1.1190795265766111,187.92673571102205,0.8465168275271263,3994.0
CB1_CORE_M_CF3_R01,M,CF3,111,CSG-NI Phase6H provisional,CSG-NI,5,8.161737177087232,222.00533676997293,1.0000240395043825,0.4228657999774441,0.001904800900799298,16354.0
CB1_CORE_M_CF3_R01,M,CF3,111,DABC-RIACRSP,DABC,5,13.777611381505054,222.00411470100516,1.0000185346892125,207.46244466601638,0.9345155165135873,20254.0
CB1_CORE_M_CF3_R01,M,CF3,111,GA,GA,5,8.311493822538376,222.01038137398427,1.0000467629458751,216.11740818698308,0.973501838680104,13338.0
CB1_CORE_M_CF3_R01,M,CF3,111,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,4.567577686259828,28.439768436015584,0.12810706502709723,27.61974576697685,0.12441326922061643,4040.0
