Method,Instance,Scale,CF,Best,Mean,Median,Std,Mean RPD (%),Median RPD (%),Rank,Attains BKS
LG_HGA,CB1_CORE_M_CF3_R01,M,CF3,2683,2807.20,2793.00,132.02,5.099,4.568,1.00,False
CSG-NI,CB1_CORE_M_CF3_R01,M,CF3,2850,2880.40,2889.00,24.42,7.840,8.162,2.00,False
GA,CB1_CORE_M_CF3_R02,M,CF3,3329,3570.20,3667.00,195.84,11.604,14.630,4.00,False
DCGA,CB1_CORE_M_CF3_R02,M,CF3,4022,4043.00,4030.00,30.65,26.383,25.977,5.00,False
DABC,CB1_CORE_M_CF3_R02,M,CF3,3573,3707.20,3638.00,135.67,15.886,13.723,3.00,False
LG_HGA,CB1_CORE_M_CF3_R02,M,CF3,3199,3400.00,3371.00,168.61,6.283,5.377,2.00,True
CSG-NI,CB1_CORE_M_CF3_R02,M,CF3,3259,3301.60,3272.00,56.47,3.207,2.282,1.00,False
GA,CB1_CORE_M_CF3_R03,M,CF3,2859,3011.20,2998.00,122.66,5.324,4.862,2.00,True
DCGA,CB1_CORE_M_CF3_R03,M,CF3,3414,3454.40,3448.00,30.22,20.825,20.602,5.00,False
DABC,CB1_CORE_M_CF3_R03,M,CF3,3189,3271.60,3286.00,67.13,14.432,14.935,4.00,False
LG_HGA,CB1_CORE_M_CF3_R03,M,CF3,3065,3172.60,3146.00,126.91,10.969,10.038,3.00,False
CSG-NI,CB1_CORE_M_CF3_R03,M,CF3,2933,2955.40,2961.00,12.52,3.372,3.568,1.00,False
GA,CB1_CORE_M_CF3_R04,M,CF3,3045,3279.40,3116.00,325.57,8.553,3.145,2.00,False
DCGA,CB1_CORE_M_CF3_R04,M,CF3,3582,3622.60,3636.00,32.97,19.914,20.357,5.00,False
DABC,CB1_CORE_M_CF3_R04,M,CF3,3234,3390.00,3398.00,109.23,12.214,12.479,4.00,False
LG_HGA,CB1_CORE_M_CF3_R04,M,CF3,3053,3145.60,3150.00,85.86,4.124,4.270,3.00,False
CSG-NI,CB1_CORE_M_CF3_R04,M,CF3,3021,3059.40,3054.00,35.10,1.271,1.092,1.00,True
GA,CB1_CORE_M_CF3_R05,M,CF3,3005,3214.20,3197.00,155.83,6.962,6.389,3.00,True
DCGA,CB1_CORE_M_CF3_R05,M,CF3,3436,3469.80,3481.00,23.12,15.468,15.840,5.00,False
DABC,CB1_CORE_M_CF3_R05,M,CF3,3293,3333.00,3321.00,42.88,10.915,10.516,4.00,False
LG_HGA,CB1_CORE_M_CF3_R05,M,CF3,3082,3208.40,3168.00,107.35,6.769,5.424,2.00,False
CSG-NI,CB1_CORE_M_CF3_R05,M,CF3,3047,3056.80,3061.00,6.26,1.724,1.864,1.00,False
GA,CB1_CORE_S_CF1_R01,S,CF1,1750,1794.80,1806.00,29.10,3.387,4.032,3.00,False
DCGA,CB1_CORE_S_CF1_R01,S,CF1,1914,1925.40,1922.00,12.52,10.910,10.714,5.00,False
DABC,CB1_CORE_S_CF1_R01,S,CF1,1736,1812.40,1801.00,58.58,4.401,3.744,2.00,True
LG_HGA,CB1_CORE_S_CF1_R01,S,CF1,1745,1867.60,1829.00,119.73,7.581,5.357,4.00,False
CSG-NI,CB1_CORE_S_CF1_R01,S,CF1,1755,1797.20,1788.00,37.32,3.525,2.995,1.00,False
GA,CB1_CORE_S_CF1_R02,S,CF1,2128,2162.60,2159.00,34.83,1.626,1.457,1.00,True
DCGA,CB1_CORE_S_CF1_R02,S,CF1,2238,2244.80,2243.00,6.38,5.489,5.404,5.00,False
DABC,CB1_CORE_S_CF1_R02,S,CF1,2190,2215.80,2213.00,19.97,4.126,3.994,4.00,False
LG_HGA,CB1_CORE_S_CF1_R02,S,CF1,2148,2190.60,2203.00,31.25,2.942,3.524,3.00,False
CSG-NI,CB1_CORE_S_CF1_R02,S,CF1,2152,2168.20,2161.00,16.57,1.889,1.551,2.00,False
