algorithm,instance_id,seed,scale,CF_level,cell_replicate,num_operations,budget_seconds,final_makespan,bks_v001_makespan,rpd_v001_percent,feasible,runtime_seconds,best_found_seconds,decoder_evaluations,iterations
NGAS_A1_6R,CB1_CAUR_L_CF1_RI2_TI2_R12,746101,L,CF1,C01,166,332.0,3229.0,3453.0,-6.487112655661743,True,332.01021115196636,265.2947368219611,27385,3423
NGAS_A1_6R,CB1_CAUR_L_CF1_RI2_TI2_R12,746102,L,CF1,C01,166,332.0,3409.0,3453.0,-1.2742542716478424,True,332.0057563149603,257.9434491809807,26947,3369
NGAS_A1_6R,CB1_CAUR_L_CF1_RI2_TI2_R12,746103,L,CF1,C01,166,332.0,3386.0,3453.0,-1.9403417318273966,True,332.00152860599337,313.6861159389955,27351,3419
NGAS_A1_6R,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746101,L,CF1,C02,172,344.0,3727.0,3710.0,0.4582210242587601,True,344.00955801201053,81.68417658196995,26046,3256
NGAS_A1_6R,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746102,L,CF1,C02,172,344.0,3757.0,3710.0,1.266846361185984,True,344.00459728302667,89.8948486270383,26134,3267
NGAS_A1_6R,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746103,L,CF1,C02,172,344.0,3653.0,3710.0,-1.536388140161725,True,344.0007570339949,165.2549527049996,26153,3269
NGAS_A1_6R,CB1_CAUR_L_CF2_RI2_TI2_R12,746101,L,CF2,C01,188,376.0,4411.0,4166.0,5.880940950552088,True,376.00634027196793,311.0946564229671,24644,3081
NGAS_A1_6R,CB1_CAUR_L_CF2_RI2_TI2_R12,746102,L,CF2,C01,188,376.0,4401.0,4166.0,5.640902544407105,True,376.0045919220429,3.249043434043415,25052,3132
NGAS_A1_6R,CB1_CAUR_L_CF2_RI2_TI2_R12,746103,L,CF2,C01,188,376.0,4245.0,4166.0,1.8963034085453672,True,376.01487935404293,280.8332324770163,25221,3153
NGAS_A1_6R,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746101,L,CF2,C02,194,388.0,4155.0,3957.0,5.003790750568613,True,388.0082802280085,0.8798218320007436,24269,3034
NGAS_A1_6R,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746102,L,CF2,C02,194,388.0,4203.0,3957.0,6.21683093252464,True,388.01362057501683,0.49228751804912463,24967,3121
NGAS_A1_6R,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746103,L,CF2,C02,194,388.0,4203.0,3957.0,6.21683093252464,True,388.00405008898815,0.48524071398423985,25310,3164
NGAS_A1_6R,CB1_CAUR_L_CF3_RI2_TI2_R12,746101,L,CF3,C01,183,366.0,4157.0,4145.0,0.28950542822677927,True,366.0126689200406,144.17636683903402,25310,3164
NGAS_A1_6R,CB1_CAUR_L_CF3_RI2_TI2_R12,746102,L,CF3,C01,183,366.0,4185.0,4145.0,0.9650180940892642,True,366.00431805697735,183.36215669097146,25103,3138
NGAS_A1_6R,CB1_CAUR_L_CF3_RI2_TI2_R12,746103,L,CF3,C01,183,366.0,4244.0,4145.0,2.388419782870929,True,366.02242125198245,87.69183418201283,25281,3160
NGAS_A1_6R,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746101,L,CF3,C02,179,358.0,3469.0,3180.0,9.08805031446541,True,358.0014206650085,0.5716926750028506,26108,3264
NGAS_A1_6R,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746102,L,CF3,C02,179,358.0,3404.0,3180.0,7.044025157232705,True,358.0071872420376,0.6959617620450445,25988,3249
NGAS_A1_6R,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746103,L,CF3,C02,179,358.0,3469.0,3180.0,9.08805031446541,True,358.0098351960187,0.5856835609884001,25442,3181
NGAS_A1_6R,CB1_CAUR_M_CF1_RI2_TI2_R12,746101,M,CF1,C01,114,228.0,2791.0,2743.0,1.7499088589135983,True,228.00150299299276,67.61117198498687,33630,4204
