algorithm,instance_id,seed,scale,CF_level,cell_replicate,budget_fraction,available,incumbent_makespan,normalized_incumbent_over_h1,rpd_v001_percent,decoder_evaluations
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746101,M,CF2,C02,0.5,True,3792.0,0.9568508705526116,3.6632039365773648,15345
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746101,M,CF2,C02,0.75,True,3778.0,0.9533181932879132,3.280481137233461,24857
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746101,M,CF2,C02,1.0,True,3726.0,0.9401968205904617,1.8589393110989612,35641
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746102,M,CF2,C02,0.1,True,3906.0,0.9856169568508706,6.779661016949152,2969
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746102,M,CF2,C02,0.25,True,3730.0,0.9412061569518042,1.9682886823400765,7161
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746102,M,CF2,C02,0.5,True,3730.0,0.9412061569518042,1.9682886823400765,7161
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746102,M,CF2,C02,0.75,True,3687.0,0.9303557910673732,0.7927829414980864,19825
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746102,M,CF2,C02,1.0,True,3687.0,0.9303557910673732,0.7927829414980864,19825
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746103,M,CF2,C02,0.1,True,3897.0,0.9833459500378501,6.533624931656643,81
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746103,M,CF2,C02,0.25,True,3897.0,0.9833459500378501,6.533624931656643,81
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746103,M,CF2,C02,0.5,True,3796.0,0.9578602069139541,3.77255330781848,17569
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746103,M,CF2,C02,0.75,True,3774.0,0.9523088569265707,3.1711317659923455,20737
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746103,M,CF2,C02,1.0,True,3774.0,0.9523088569265707,3.1711317659923455,20737
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746101,M,CF3,C01,0.1,True,2858.0,1.0,8.298597953770367,1
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746101,M,CF3,C01,0.25,True,2858.0,1.0,8.298597953770367,1
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746101,M,CF3,C01,0.5,True,2858.0,1.0,8.298597953770367,1
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746101,M,CF3,C01,0.75,True,2858.0,1.0,8.298597953770367,1
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746101,M,CF3,C01,1.0,True,2858.0,1.0,8.298597953770367,1
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746102,M,CF3,C01,0.1,True,2858.0,1.0,8.298597953770367,1
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746102,M,CF3,C01,0.25,True,2858.0,1.0,8.298597953770367,1
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746102,M,CF3,C01,0.5,True,2858.0,1.0,8.298597953770367,1
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746102,M,CF3,C01,0.75,True,2858.0,1.0,8.298597953770367,1
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746102,M,CF3,C01,1.0,True,2809.0,0.9828551434569629,6.441834028040924,37193
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746103,M,CF3,C01,0.1,True,2858.0,1.0,8.298597953770367,1
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746103,M,CF3,C01,0.25,True,2858.0,1.0,8.298597953770367,1
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746103,M,CF3,C01,0.5,True,2858.0,1.0,8.298597953770367,1
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746103,M,CF3,C01,0.75,True,2858.0,1.0,8.298597953770367,1
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746103,M,CF3,C01,1.0,True,2858.0,1.0,8.298597953770367,1
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746101,M,CF3,C02,0.1,True,3277.0,0.998172403289674,12.149212867898699,9
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746101,M,CF3,C02,0.25,True,3277.0,0.998172403289674,12.149212867898699,9
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746101,M,CF3,C02,0.5,True,3242.0,0.9875114224794396,10.951403148528405,18297
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746101,M,CF3,C02,0.75,True,3242.0,0.9875114224794396,10.951403148528405,18297
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746101,M,CF3,C02,1.0,True,3242.0,0.9875114224794396,10.951403148528405,18297
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746102,M,CF3,C02,0.1,True,3204.0,0.9759366433140421,9.650924024640657,9
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746102,M,CF3,C02,0.25,True,3204.0,0.9759366433140421,9.650924024640657,9
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746102,M,CF3,C02,0.5,True,3204.0,0.9759366433140421,9.650924024640657,9
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746102,M,CF3,C02,0.75,True,3204.0,0.9759366433140421,9.650924024640657,9
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746102,M,CF3,C02,1.0,True,3204.0,0.9759366433140421,9.650924024640657,9
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746103,M,CF3,C02,0.1,True,3247.0,0.9890344197380445,11.122518822724162,57
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746103,M,CF3,C02,0.25,True,3193.0,0.9725860493451112,9.274469541409994,5937
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746103,M,CF3,C02,0.5,True,3167.0,0.9646664636003656,8.38466803559206,13993
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746103,M,CF3,C02,0.75,True,3167.0,0.9646664636003656,8.38466803559206,13993
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746103,M,CF3,C02,1.0,True,3167.0,0.9646664636003656,8.38466803559206,13993
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12,746101,S,CF1,C01,0.1,True,1811.0,0.9821041214750542,10.091185410334347,1873
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12,746101,S,CF1,C01,0.25,True,1700.0,0.9219088937093276,3.3434650455927053,13713
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12,746101,S,CF1,C01,0.5,True,1674.0,0.9078091106290672,1.762917933130699,19793
