state_id,instance_id,data_origin,target_set_id,generator_order_index,all_origin_rules,all_origin_destroy_operators,all_origin_families,current_stored_first_origin_destroy_operator,origin_rule_count,origin_destroy_operator_count,cross_destroy_duplicate,stored_metadata_match
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_b7407f4fac38dc996b83,12,"[""matched_random_2""]","[""random""]","[""MATCHED_RANDOM""]",random,1,1,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_d9c87ef0f90540016e1f,13,"[""matched_random_3""]","[""random""]","[""MATCHED_RANDOM""]",random,1,1,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_3a6f2f4d763795dee177,14,"[""one_operation_swap""]","[""related""]","[""LOCAL_PERTURBATION""]",related,1,1,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_5feca5be13fc4d45987b,15,"[""two_operation_swap""]","[""related""]","[""LOCAL_PERTURBATION""]",related,1,1,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_635739b0d7fbfe05092b,16,"[""related_replace_25""]","[""related""]","[""LOCAL_PERTURBATION""]",related,1,1,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_808b4bcce2997c91fef2,17,"[""related_replace_50""]","[""related""]","[""LOCAL_PERTURBATION""]",related,1,1,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_a57134c1f87d535c4e6f,18,"[""near_same_product""]","[""related""]","[""STRUCTURED_NEAR_NEIGHBOR""]",related,1,1,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_281b98ec8b062fa274a5,19,"[""near_precedence_neighbor""]","[""related""]","[""STRUCTURED_NEAR_NEIGHBOR""]",related,1,1,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_6e0727890692b115af3a,20,"[""near_same_island_chain""]","[""related""]","[""STRUCTURED_NEAR_NEIGHBOR""]",related,1,1,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_1e114b38946e2978ec0a,21,"[""near_high_W_delay""]","[""related""]","[""STRUCTURED_NEAR_NEIGHBOR""]",related,1,1,False,True
