slice_dimension,slice_value,k,states,exact_best_recall,near_best_recall_epsilon_0_0025,near_best_recall_epsilon_0_005,near_best_recall_epsilon_0_010,oracle_shortlist_selected_lift,oracle_shortlist_regret,positive_opportunity_states,fallback_beating_candidate_present,mean_topk_origin_family_diversity,phase6n_phase6l_mean_topk_overlap,overlap_states
scope,expanded_864,8,864,0.5011574074074074,0.5497685185185185,0.5995370370370371,0.7048611111111112,0.03425331389104423,0.0074622316230932295,834,0.9664268585131894,3.778935185185185,0.5993923611111112,288
search_stage,0-20%,1,216,0.0787037037037037,0.1111111111111111,0.125,0.18055555555555555,0.006167212910293063,0.034945121564271785,212,0.5990566037735849,1.0,0.25,72
search_stage,0-20%,2,216,0.1388888888888889,0.17592592592592593,0.2037037037037037,0.2824074074074074,0.01665101921000762,0.024461315264557235,212,0.7358490566037735,1.6527777777777777,0.3194444444444444,72
search_stage,0-20%,3,216,0.19907407407407407,0.25,0.28703703703703703,0.3888888888888889,0.021229797912121366,0.01988253656244348,212,0.8160377358490566,2.1527777777777777,0.4305555555555555,72
search_stage,0-20%,4,216,0.2638888888888889,0.3194444444444444,0.36574074074074076,0.4675925925925926,0.0259447841728817,0.015167550301683153,212,0.8679245283018868,2.564814814814815,0.4513888888888889,72
search_stage,0-20%,6,216,0.35185185185185186,0.4074074074074074,0.4722222222222222,0.5833333333333334,0.03075892864007632,0.010353405834488532,212,0.9764150943396226,3.2685185185185186,0.5092592592592592,72
search_stage,0-20%,8,216,0.49074074074074076,0.5416666666666666,0.6018518518518519,0.6944444444444444,0.03387627637816812,0.0072360580963967336,212,0.9858490566037735,3.740740740740741,0.5590277777777778,72
search_stage,20-40%,1,108,0.1111111111111111,0.14814814814814814,0.1574074074074074,0.2222222222222222,0.007535656546674208,0.03288745405863986,105,0.5523809523809524,1.0,0.3055555555555556,36
search_stage,20-40%,2,108,0.21296296296296297,0.25,0.28703703703703703,0.3611111111111111,0.01884700625679681,0.02157610434851726,105,0.7619047619047619,1.6018518518518519,0.2916666666666667,36
search_stage,20-40%,3,108,0.28703703703703703,0.32407407407407407,0.37037037037037035,0.4537037037037037,0.024280031808590535,0.016143078796723533,105,0.8476190476190476,2.2037037037037037,0.3333333333333333,36
search_stage,20-40%,4,108,0.32407407407407407,0.3888888888888889,0.4444444444444444,0.5370370370370371,0.027469409163234964,0.0129537014420791,105,0.8857142857142857,2.6574074074074074,0.375,36
