source,category,metric,value,observations
NEW_ALNS_EXPANSION,candidate_origin_distribution,fraction:MATCHED_RANDOM,0.1267605633802817,13632
ORIGINAL_PHASE6J_CAUR,candidate_origin_distribution,fraction:MATCHED_RANDOM,0.12689087971802027,6809
NEW_ALNS_EXPANSION,candidate_origin_distribution,fraction:ORIGINAL_OPERATOR,0.29577464788732394,13632
ORIGINAL_PHASE6J_CAUR,candidate_origin_distribution,fraction:ORIGINAL_OPERATOR,0.29607871934204727,6809
NEW_ALNS_EXPANSION,candidate_origin_distribution,fraction:RELATED_VARIANT,0.1552230046948357,13632
ORIGINAL_PHASE6J_CAUR,candidate_origin_distribution,fraction:RELATED_VARIANT,0.15435453076810104,6809
NEW_ALNS_EXPANSION,candidate_origin_distribution,fraction:STRUCTURED_NEAR_NEIGHBOR,0.25322769953051644,13632
ORIGINAL_PHASE6J_CAUR,candidate_origin_distribution,fraction:STRUCTURED_NEAR_NEIGHBOR,0.2534880305478044,6809
NEW_ALNS_EXPANSION,continuation_advantage,mean,-0.004267770672863426,13632
ORIGINAL_PHASE6J_CAUR,continuation_advantage,mean,-0.003017891749137348,6809
NEW_ALNS_EXPANSION,continuation_advantage,q10,-0.044915392791443846,13632
ORIGINAL_PHASE6J_CAUR,continuation_advantage,q10,-0.04083129584352078,6809
NEW_ALNS_EXPANSION,continuation_advantage,q50,-0.0025094330703517836,13632
ORIGINAL_PHASE6J_CAUR,continuation_advantage,q50,-0.0010145417653026718,6809
NEW_ALNS_EXPANSION,continuation_advantage,q90,0.035343035343035345,13632
ORIGINAL_PHASE6J_CAUR,continuation_advantage,q90,0.03460429886741263,6809
NEW_ALNS_EXPANSION,continuation_advantage,std,0.032458889674308065,13632
ORIGINAL_PHASE6J_CAUR,continuation_advantage,std,0.03135974777998297,6809
NEW_ALNS_EXPANSION,crn_disagreement,mean_candidate_abs_seed_delta,0.022501594895486157,576
ORIGINAL_PHASE6J_CAUR,crn_disagreement,mean_candidate_abs_seed_delta,0.02336667316382546,288
NEW_ALNS_EXPANSION,crn_disagreement,winner_disagreement_rate,0.5694444444444444,576
ORIGINAL_PHASE6J_CAUR,crn_disagreement,winner_disagreement_rate,0.6006944444444444,288
NEW_ALNS_EXPANSION,effective_phase6n_training_weight,equal_state_loss_aggregate_fraction,0.6666666666666666,576
ORIGINAL_PHASE6J_CAUR,effective_phase6n_training_weight,equal_state_loss_aggregate_fraction,0.3333333333333333,288
NEW_ALNS_EXPANSION,fine_tuned_relation_block_prediction_drift,mean_absolute,0.15290767958102205,40896
ORIGINAL_PHASE6J_CAUR,fine_tuned_relation_block_prediction_drift,mean_absolute,0.15370948938550288,20427
NEW_ALNS_EXPANSION,fine_tuned_relation_block_prediction_drift,q50_absolute,0.08982773870229721,40896
ORIGINAL_PHASE6J_CAUR,fine_tuned_relation_block_prediction_drift,q50_absolute,0.0883110761642456,20427
NEW_ALNS_EXPANSION,fine_tuned_relation_block_prediction_drift,q90_absolute,0.3525765538215637,40896
ORIGINAL_PHASE6J_CAUR,fine_tuned_relation_block_prediction_drift,q90_absolute,0.3584818720817566,20427
NEW_ALNS_EXPANSION,fine_tuned_relation_block_prediction_drift,q99_absolute,1.0086753368377697,40896
ORIGINAL_PHASE6J_CAUR,fine_tuned_relation_block_prediction_drift,q99_absolute,1.01478219509125,20427
NEW_ALNS_EXPANSION,model_error,exact_top1_hit_rate,0.10590277777777778,576
ORIGINAL_PHASE6J_CAUR,model_error,exact_top1_hit_rate,0.0798611111111111,288
NEW_ALNS_EXPANSION,model_error,mean_pairwise_accuracy,0.5973983818584587,576
ORIGINAL_PHASE6J_CAUR,model_error,mean_pairwise_accuracy,0.5740694528788893,288
NEW_ALNS_EXPANSION,model_error,mean_top1_regret,0.03440724978899438,576
ORIGINAL_PHASE6J_CAUR,model_error,mean_top1_regret,0.034970776812805256,288
NEW_ALNS_EXPANSION,state_composition,state_count,576.0,576
ORIGINAL_PHASE6J_CAUR,state_composition,state_count,288.0,288
NEW_ALNS_EXPANSION,state_composition:scale,fraction:L,0.3333333333333333,576
ORIGINAL_PHASE6J_CAUR,state_composition:scale,fraction:L,0.3333333333333333,288
NEW_ALNS_EXPANSION,state_composition:scale,fraction:M,0.3333333333333333,576
ORIGINAL_PHASE6J_CAUR,state_composition:scale,fraction:M,0.3333333333333333,288
NEW_ALNS_EXPANSION,state_composition:scale,fraction:S,0.3333333333333333,576
ORIGINAL_PHASE6J_CAUR,state_composition:scale,fraction:S,0.3333333333333333,288
NEW_ALNS_EXPANSION,state_composition:search_stage,fraction:0-20%,0.25,576
ORIGINAL_PHASE6J_CAUR,state_composition:search_stage,fraction:0-20%,0.25,288
NEW_ALNS_EXPANSION,state_composition:search_stage,fraction:20-40%,0.125,576
ORIGINAL_PHASE6J_CAUR,state_composition:search_stage,fraction:20-40%,0.125,288
NEW_ALNS_EXPANSION,state_composition:search_stage,fraction:40-60%,0.25,576
ORIGINAL_PHASE6J_CAUR,state_composition:search_stage,fraction:40-60%,0.25,288
NEW_ALNS_EXPANSION,state_composition:search_stage,fraction:60-80%,0.125,576
ORIGINAL_PHASE6J_CAUR,state_composition:search_stage,fraction:60-80%,0.125,288
NEW_ALNS_EXPANSION,state_composition:search_stage,fraction:80-100%,0.25,576
ORIGINAL_PHASE6J_CAUR,state_composition:search_stage,fraction:80-100%,0.25,288
NEW_ALNS_EXPANSION,true_top_candidate_origin,fraction:LOCAL_PERTURBATION,0.12152777777777778,576
ORIGINAL_PHASE6J_CAUR,true_top_candidate_origin,fraction:LOCAL_PERTURBATION,0.125,288
NEW_ALNS_EXPANSION,true_top_candidate_origin,fraction:MATCHED_RANDOM,0.11458333333333333,576
ORIGINAL_PHASE6J_CAUR,true_top_candidate_origin,fraction:MATCHED_RANDOM,0.09375,288
NEW_ALNS_EXPANSION,true_top_candidate_origin,fraction:ORIGINAL_OPERATOR,0.2013888888888889,576
ORIGINAL_PHASE6J_CAUR,true_top_candidate_origin,fraction:ORIGINAL_OPERATOR,0.2916666666666667,288
NEW_ALNS_EXPANSION,true_top_candidate_origin,fraction:RELATED_VARIANT,0.265625,576
ORIGINAL_PHASE6J_CAUR,true_top_candidate_origin,fraction:RELATED_VARIANT,0.1909722222222222,288
NEW_ALNS_EXPANSION,true_top_candidate_origin,fraction:STRUCTURED_NEAR_NEIGHBOR,0.296875,576
ORIGINAL_PHASE6J_CAUR,true_top_candidate_origin,fraction:STRUCTURED_NEAR_NEIGHBOR,0.2986111111111111,288
