search_stage,bottleneck_type,destroy_operator,selection_count,selection_rate,accepted_count,acceptance_rate,improving_count,improvement_rate,new_global_best_count,global_best_rate,mean_immediate_delta,median_immediate_delta,mean_positive_delta,mean_relative_positive_improvement,mean_runtime,mean_decoder_evaluations,mean_destroy_count,mean_destroy_fraction,mean_critical_path_overlap,mean_critical_resource_overlap,mean_reconfiguration_contribution,mean_W_delay_contribution,mean_F_delay_contribution,mean_sync_delay_contribution,total_global_best_reduction_attributed_to_operator,fraction_of_total_best_reduction
40-60%,RECONFIGURATION,w_bottleneck,2623,0.007294763511164632,3,0.001143728555089592,3,0.001143728555089592,1,0.0003812428516965307,-308.3419748379718,-270.0,26.666666666666668,0.010739570387384172,0.1405516592809771,8.0,18.484178421654594,0.14999999999999997,0.013293301714057943,0.0791980723785176,24.807425414875933,161.13674232222874,206.8509632952959,0.0,31.0,0.000535452111581311
40-60%,W_LOGISTICS,critical,4999,0.013902601140797556,19,0.003800760152030406,15,0.0030006001200240046,11,0.0022004400880176033,-234.6731346269254,-219.0,34.13333333333333,0.009459465284140453,0.13329604694958946,8.0,17.36647329465893,0.15,0.07148542050841983,0.4669792287746731,17.912302270146906,78.47012150385136,131.35315409591277,0.0,302.0,0.00521633992572761
40-60%,W_LOGISTICS,f_bottleneck,4811,0.013379758769429295,5,0.0010392849719393059,4,0.0008314279775514446,0,0.0,-349.64144668468094,-324.0,44.5,0.009709857447233676,0.13048111794034487,8.0,17.19829557264602,0.14999999999999997,0.010958223574210307,0.08508462393214616,24.17644536415886,138.81597397536208,183.17593705514602,0.0,0.0,0.0
40-60%,W_LOGISTICS,high_reconfiguration,4948,0.013760766242181699,24,0.004850444624090542,18,0.003637833468067906,12,0.002425222312045271,-269.1255052546483,-246.0,48.05555555555556,0.011817908959798935,0.13564387430537703,8.0,17.473928860145513,0.15,0.01232391728288081,0.08503198569524556,51.844442674064986,133.85453865720729,171.11441424346214,0.0,505.0,0.008722687624147163
40-60%,W_LOGISTICS,overloaded_island,5096,0.014172365555812033,28,0.005494505494505495,22,0.0043171114599686025,15,0.0029434850863422294,-276.42327315541604,-239.0,20.90909090909091,0.007398807462547183,0.12868100915816508,8.0,17.024725274725274,0.14999999999999997,0.005592766359776291,0.03634292501276289,24.250637301223318,111.78402823132645,172.01424976362034,0.0,269.0,0.004646342516624925
40-60%,W_LOGISTICS,random,5062,0.014077808956734795,43,0.008494666139865666,35,0.00691426313709996,17,0.0033583563808771235,-267.4774792572106,-249.0,34.4,0.010018195457965416,0.13767338863887768,8.0,17.55807981035164,0.14999999999999997,0.010051283595940558,0.08848570702598113,24.43366453418582,125.95000184747352,171.99291561832382,0.0,636.0,0.01098540461179722
40-60%,W_LOGISTICS,related,5435,0.015115150470140972,91,0.016743330266789327,78,0.014351425942962282,39,0.007175712971481141,-215.3177552897884,-199.0,30.858974358974358,0.008502380496487728,0.13466618272401004,8.0,17.356209751609935,0.14999999999999997,0.011188266516415043,0.09097559627427715,24.08253568440744,124.95413762830344,170.09832449334536,0.0,1124.0,0.019414457207012695
40-60%,W_LOGISTICS,w_bottleneck,5092,0.01416124125003824,19,0.0037313432835820895,16,0.003142183817753339,13,0.0025530243519245877,-321.2003142183818,-272.0,18.0,0.0060099070611839105,0.13153421491005812,8.0,17.20306362922231,0.14999999999999997,0.009380165649027515,0.0717493060573825,25.001841751545822,157.49018613694335,193.57767235914636,0.0,159.0,0.002746351152949305
60-80%,CROSS_RESOURCE_SYNCHRONIZATION,critical,2248,0.006251859844871556,12,0.005338078291814947,5,0.002224199288256228,4,0.0017793594306049821,-189.260231316726,-177.0,27.2,0.009356325743982586,0.07668001492126392,8.0,11.934608540925266,0.15,0.23076527921326445,0.5021502129867965,12.434876372983991,53.74417261919811,77.10091078025938,0.0,131.0,0.002262716987650056
60-80%,CROSS_RESOURCE_SYNCHRONIZATION,f_bottleneck,2216,0.006162865398681214,0,0.0,0,0.0,0,0.0,-259.76624548736464,-239.0,,,0.07836789393907821,8.0,12.04332129963899,0.15,0.016459437529134816,0.06617288471007014,18.66195520283589,94.97025012048837,114.75215112672527,0.0,0.0,0.0
60-80%,CROSS_RESOURCE_SYNCHRONIZATION,high_reconfiguration,2256,0.006274108456419142,0,0.0,0,0.0,0,0.0,-238.87810283687944,-218.0,,,0.08033206629344367,8.0,12.197695035460994,0.15,0.029323951068244973,0.09598944913484242,47.65719585068603,90.25012684696797,110.32368601267437,0.0,0.0,0.0
60-80%,CROSS_RESOURCE_SYNCHRONIZATION,overloaded_island,2235,0.0062157058511067296,7,0.003131991051454139,4,0.0017897091722595079,2,0.0008948545861297539,-212.951677852349,-202.0,18.25,0.005784914005086551,0.07812395559552657,8.0,12.072930648769574,0.15,0.03003124716346964,0.031975599126975306,15.53741247153406,74.01816040742486,110.59189601670542,0.0,67.0,0.0011572674669660592
60-80%,CROSS_RESOURCE_SYNCHRONIZATION,random,2252,0.006262984150645349,3,0.0013321492007104796,1,0.0004440497335701599,1,0.0004440497335701599,-218.6372113676732,-208.0,12.0,0.006272869837950863,0.07910371047379529,8.0,12.116785079928952,0.15,0.038079860947807735,0.10230390959293359,20.078901226835338,84.06722185494172,114.954614206271,0.0,12.0,0.00020727178512824942
60-80%,CROSS_RESOURCE_SYNCHRONIZATION,related,2358,0.006557778253650858,16,0.006785411365564037,14,0.005937234944868533,14,0.005937234944868533,-183.4376590330789,-175.0,12.142857142857142,0.005953121295836396,0.07740212793426647,8.0,12.046225614927906,0.14999999999999997,0.0409098809746237,0.1081553003127856,19.986726630165492,82.38187272514526,112.42273364548234,0.0,170.0,0.002936350289316867
60-80%,CROSS_RESOURCE_SYNCHRONIZATION,w_bottleneck,2274,0.006324167832401209,4,0.001759014951627089,4,0.001759014951627089,4,0.001759014951627089,-247.55496921723835,-225.0,7.75,0.004160956032560393,0.07768521174186416,8.0,11.97977132805629,0.15,0.01729717692702559,0.09015649502316624,20.512143438757857,124.71264459987111,153.28785102256788,0.0,31.0,0.000535452111581311
60-80%,F_LOGISTICS,critical,214,0.000595150358897915,0,0.0,0,0.0,0,0.0,-273.32710280373834,-224.0,,,0.0976629958598215,8.0,14.878504672897197,0.14999999999999994,0.08335638450245283,0.5157123930246714,15.366955589572813,48.02203736527375,130.3074616410642,0.0,0.0,0.0
60-80%,F_LOGISTICS,f_bottleneck,225,0.0006257421997758453,0,0.0,0,0.0,0,0.0,-277.7111111111111,-240.0,,,0.09640790868000193,8.0,14.826666666666666,0.14999999999999997,0.008888888888888889,0.15870753512132824,19.78893295019157,74.64127139208173,135.84594891443172,0.0,0.0,0.0
60-80%,F_LOGISTICS,high_reconfiguration,256,0.0007119555695227395,1,0.00390625,1,0.00390625,1,0.00390625,-275.640625,-243.0,17.0,0.005657237936772047,0.09561752375390853,8.0,14.66015625,0.14999999999999997,0.041357421874999994,0.12675612877155173,50.04885674838361,131.34989392510772,157.49780946928882,0.0,17.0,0.0002936350289316867
60-80%,F_LOGISTICS,overloaded_island,220,0.0006118368175586042,1,0.004545454545454545,0,0.0,0,0.0,-224.07272727272726,-191.5,,,0.08915074195907974,8.0,13.936363636363636,0.14999999999999994,0.03535353535353535,0.04582571403692093,12.810586903517937,87.59846786833857,167.60769636015323,0.0,0.0,0.0
60-80%,F_LOGISTICS,random,227,0.0006313043526627416,0,0.0,0,0.0,0,0.0,-235.41850220264317,-205.0,,,0.08544936223348178,8.0,13.687224669603523,0.14999999999999997,0.014135525849410096,0.10679106115077557,20.643693984505543,84.80082789001975,135.8845614545884,0.0,0.0,0.0
60-80%,F_LOGISTICS,related,250,0.0006952691108620502,1,0.004,1,0.004,1,0.004,-211.788,-197.0,7.0,0.004768392370572207,0.09690315723599724,8.0,14.72,0.15,0.014301532567049809,0.0999917624521073,21.188102298850573,88.06232931034482,151.06520747126436,0.0,7.0,0.00012090854132481217
60-80%,F_LOGISTICS,w_bottleneck,255,0.0007091744930792913,0,0.0,0,0.0,0,0.0,-250.3764705882353,-235.0,,,0.09295163999607693,8.0,14.36078431372549,0.15,0.0,0.12069040643077153,22.79948839305838,123.68591465705055,125.5033855457892,0.0,0.0,0.0
60-80%,RECONFIGURATION,critical,2746,0.00763683591370876,4,0.0014566642388929353,4,0.0014566642388929353,3,0.0010924981791697013,-262.3543335761107,-250.0,26.75,0.00800476964628805,0.14680333577058055,8.0,18.90531682447196,0.15,0.09445805161210978,0.3949139550125239,19.48318555455931,78.66290843248754,139.56012102256898,0.0,96.0,0.0016581742810259953
60-80%,RECONFIGURATION,f_bottleneck,2609,0.007255828440956356,0,0.0,0,0.0,0,0.0,-401.1475661172863,-384.0,,,0.14595087607435295,8.0,19.0218474511307,0.14999999999999997,0.014187876555147987,0.07339587707949008,24.74947220320978,136.37009485326524,199.57776732658678,0.0,0.0,0.0
60-80%,RECONFIGURATION,high_reconfiguration,2592,0.007208550141417737,3,0.0011574074074074073,1,0.00038580246913580245,0,0.0,-295.2133487654321,-280.0,1.0,0.00022634676324128565,0.14623430843788815,8.0,18.994598765432098,0.15,0.012976521963931962,0.07264367808246733,51.564204449215445,135.27248114255778,188.15013002934936,0.0,0.0,0.0
60-80%,RECONFIGURATION,overloaded_island,2638,0.007336479657816354,13,0.004927975739196361,13,0.004927975739196361,10,0.0037907505686125853,-300.459059893859,-266.0,29.153846153846153,0.008244065881765007,0.145660377677784,8.0,18.89120545868082,0.14999999999999997,0.02216957704133903,0.03145571330043257,23.62933209207179,101.06701607909106,159.20729601926644,0.0,302.0,0.00521633992572761
60-80%,RECONFIGURATION,random,2684,0.007464409174214971,11,0.004098360655737705,8,0.0029806259314456036,5,0.0018628912071535022,-286.47801788375557,-272.0,31.75,0.01150460042034184,0.15030845346312127,8.0,19.208643815201192,0.14999999999999997,0.014827355714174761,0.08399824776063647,24.115883828032747,127.37356396512831,186.94190887317708,0.0,181.0,0.0031263494256844287
60-80%,RECONFIGURATION,related,2712,0.007542279314631521,12,0.004424778761061947,11,0.004056047197640118,8,0.0029498525073746312,-226.32153392330383,-215.0,30.90909090909091,0.011082494394613406,0.14513520754903758,8.0,18.9273598820059,0.15,0.01671421654374167,0.0910194012537939,24.409003831564625,128.03720243727736,186.04381476964886,0.0,212.0,0.00366180153726574
60-80%,RECONFIGURATION,w_bottleneck,2666,0.007414349798232904,4,0.0015003750937734434,4,0.0015003750937734434,2,0.0007501875468867217,-324.10577644411103,-289.0,7.0,0.002028217009180017,0.1449306734523646,8.0,18.871342835708926,0.14999999999999997,0.008542071198811603,0.06809933119169263,24.979940753415455,149.68943472280856,202.27541723887893,0.0,8.0,0.0001381811900854996
60-80%,W_LOGISTICS,critical,5150,0.014322543683758236,10,0.001941747572815534,7,0.0013592233009708738,4,0.0007766990291262136,-242.11106796116505,-222.0,10.428571428571429,0.005887685269611998,0.12252429832757315,8.0,16.861747572815535,0.14999999999999997,0.07266509480766618,0.4744460186933254,18.280500966443572,76.3885754204732,127.3268259294379,0.0,43.0,0.0007427238967095604
60-80%,W_LOGISTICS,f_bottleneck,4982,0.013855322841258937,2,0.0004014452027298274,2,0.0004014452027298274,2,0.0004014452027298274,-350.5574066639904,-329.0,12.0,0.003032132110221562,0.12632977240826992,8.0,17.190084303492572,0.15,0.011229090794867828,0.0799073408036474,23.68709061341213,136.2573815650597,185.15390332508483,0.0,24.0,0.00041454357025649883
60-80%,W_LOGISTICS,high_reconfiguration,4966,0.013810825618163767,11,0.0022150624244865083,9,0.0018123238018525976,8,0.0016109544905356424,-272.49556987515103,-246.0,20.666666666666668,0.005980988631159818,0.1244650137543332,8.0,17.010269834877164,0.15,0.013998008090268202,0.08932481102892458,51.11263717246878,131.8207728045314,169.8954332510968,0.0,145.0,0.0025045340702996802
