method,instance_id,instance_relative_path,scale,CF_level,RI_level,TI_level,seed,time_limit_seconds,final_best,time_to_best,evals_to_best,total_runtime,total_decoder_evals,initialization_seconds,iterations,feasible,model_load_seconds,policy_sha256
PHASE6H_CSGNI,CB1_CAL_M_CF1_RI2_TI2_R08,cal_holdout/CB1_CAL_M_CF1_RI2_TI2_R08.json,M,CF1,RI2,TI2,671302.0,254.0,3107.0,150.41901632898953,11977,254.00281866500154,20211,0.09570915601216257,2527,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_M_CF1_RI2_TI2_R08,cal_holdout/CB1_CAL_M_CF1_RI2_TI2_R08.json,M,CF1,RI2,TI2,671303.0,254.0,3055.0,81.82124948501587,6489,254.00511169299716,19997,0.09421966900117695,2500,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_M_CF1_RI2_TI2_R08,cal_holdout/CB1_CAL_M_CF1_RI2_TI2_R08.json,M,CF1,RI2,TI2,671304.0,254.0,3079.0,65.17877671698807,5185,254.00924907496665,20042,0.0921406970010139,2506,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_M_CF1_RI2_TI2_R08,cal_holdout/CB1_CAL_M_CF1_RI2_TI2_R08.json,M,CF1,RI2,TI2,671305.0,254.0,3040.0,137.35507183498703,10897,254.01156248996267,20170,0.09590739395935088,2522,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_M_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_M_CF2_RI2_TI2_R08.json,M,CF2,RI2,TI2,671301.0,250.0,3196.0,0.4977167909964919,33,250.05052361701382,19866,0.1134423750336282,2484,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_M_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_M_CF2_RI2_TI2_R08.json,M,CF2,RI2,TI2,671302.0,250.0,2980.0,73.02456630201777,5817,250.0182540899841,20130,0.11748702102340758,2517,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_M_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_M_CF2_RI2_TI2_R08.json,M,CF2,RI2,TI2,671303.0,250.0,3118.0,248.8101741260034,19873,250.04460605204804,19970,0.11853080504806712,2497,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_M_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_M_CF2_RI2_TI2_R08.json,M,CF2,RI2,TI2,671304.0,250.0,3159.0,87.68084592698142,7025,250.00161895802012,19848,0.11416784097673371,2481,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_M_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_M_CF2_RI2_TI2_R08.json,M,CF2,RI2,TI2,671305.0,250.0,3229.0,0.21468652796465904,9,250.00240854895674,19830,0.11707045597722754,2479,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_M_CF3_RI2_TI2_R08,cal_holdout/CB1_CAL_M_CF3_RI2_TI2_R08.json,M,CF3,RI2,TI2,671301.0,258.0,3688.0,39.292171153007075,2929,258.0106838339707,19330,0.20926841400796548,2417,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
