dimension,group,trial,actions,instances,mean_raw_marginal_best_reduction,probability_best_changes_after_k,mean_raw_quality_loss_vs_eight,mean_positive_gain_at_k,mean_positive_gain_loss_vs_eight,no_new_best_probability,mean_signed_trial_variance
repair,transport_aware,1,2555,24,0.0,0.8939334637964775,166.0696673189824,0.0,0.11663405088062623,0.0,17603.01972235812
repair,transport_aware,2,2555,24,72.81448140900196,0.7632093933463796,93.25518590998043,0.021917808219178082,0.09471624266144814,0.48454011741682973,17603.01972235812
repair,transport_aware,3,2555,24,36.68140900195695,0.6180039138943249,56.57377690802348,0.0273972602739726,0.08923679060665363,0.639921722113503,17603.01972235812
repair,transport_aware,4,2555,24,18.916634050880628,0.5037181996086105,37.65714285714286,0.0273972602739726,0.08923679060665363,0.7538160469667319,17603.01972235812
repair,transport_aware,5,2555,24,14.432485322896282,0.36203522504892366,23.224657534246575,0.09158512720156556,0.025048923679060666,0.7772994129158513,17603.01972235812
repair,transport_aware,6,2555,24,9.378082191780821,0.24500978473581214,13.846575342465753,0.09315068493150686,0.023483365949119372,0.8438356164383561,17603.01972235812
repair,transport_aware,7,2555,24,7.864187866927593,0.12093933463796477,5.98238747553816,0.11663405088062623,0.0,0.8532289628180039,17603.01972235812
repair,transport_aware,8,2555,24,5.98238747553816,0.0,0.0,0.11663405088062623,0.0,0.8790606653620352,17603.01972235812
scale,L,1,4290,8,0.0,0.8743589743589744,210.44312354312353,0.002331002331002331,0.10909090909090909,0.0,28349.716757721446
scale,L,2,4290,8,92.8062937062937,0.745920745920746,117.63682983682983,0.012354312354312355,0.09906759906759907,0.4983682983682984,28349.716757721446
scale,L,3,4290,8,40.61771561771562,0.6237762237762238,77.01911421911421,0.012587412587412588,0.09883449883449884,0.679020979020979,28349.716757721446
scale,L,4,4290,8,27.908624708624707,0.4925407925407925,49.11048951048951,0.031235431235431235,0.08018648018648018,0.7249417249417249,28349.716757721446
scale,L,5,4290,8,19.63030303030303,0.3452214452214452,29.48018648018648,0.05827505827505827,0.05314685314685315,0.7815850815850816,28349.716757721446
scale,L,6,4290,8,11.549883449883449,0.2331002331002331,17.93030303030303,0.05827505827505827,0.05314685314685315,0.8554778554778555,28349.716757721446
scale,L,7,4290,8,10.362703962703963,0.10606060606060606,7.567599067599067,0.07226107226107226,0.039160839160839164,0.8568764568764569,28349.716757721446
scale,L,8,4290,8,7.567599067599067,0.0,0.0,0.11142191142191142,0.0,0.8939393939393939,28349.716757721446
scale,M,1,4295,8,0.0,0.8898719441210711,192.4859138533178,0.0,0.05168800931315483,0.0,21236.1332290454
scale,M,2,4295,8,86.55832363213038,0.7625145518044237,105.92759022118743,0.024447031431897557,0.027240977881257275,0.4710128055878929,21236.1332290454
scale,M,3,4295,8,42.05704307334109,0.6260768335273574,63.87054714784633,0.032130384167636784,0.019557625145518044,0.6228172293364377,21236.1332290454
scale,M,4,4295,8,18.254016298020954,0.5245634458672875,45.61653084982538,0.032130384167636784,0.019557625145518044,0.7767171129220023,21236.1332290454
scale,M,5,4295,8,15.753899883585564,0.3946449359720605,29.862630966239813,0.04330616996507567,0.008381839348079161,0.7853317811408614,21236.1332290454
scale,M,6,4295,8,12.808847497089639,0.2572759022118743,17.053783469150176,0.04423748544819558,0.007450523864959255,0.8218859138533178,21236.1332290454
scale,M,7,4295,8,10.070314318975553,0.11804423748544819,6.9834691501746216,0.04470314318975553,0.006984866123399301,0.8421420256111758,21236.1332290454
scale,M,8,4295,8,6.9834691501746216,0.0,0.0,0.05168800931315483,0.0,0.8819557625145518,21236.1332290454
scale,S,1,4190,8,0.0,0.8778042959427208,159.83699284009546,0.0,0.007159904534606206,0.0,16919.10208457637
scale,S,2,4190,8,79.58042959427208,0.7329355608591885,80.25656324582339,0.0016706443914081145,0.005489260143198091,0.47804295942720765,16919.10208457637
scale,S,3,4190,8,31.06252983293556,0.5894988066825776,49.194033412887826,0.0016706443914081145,0.005489260143198091,0.6596658711217184,16919.10208457637
scale,S,4,4190,8,14.747494033412888,0.47422434367541766,34.44653937947494,0.0016706443914081145,0.005489260143198091,0.7720763723150358,16919.10208457637
scale,S,5,4190,8,12.233890214797135,0.35608591885441526,22.212649164677803,0.00477326968973747,0.002386634844868735,0.8124105011933174,16919.10208457637
scale,S,6,4190,8,8.637231503579953,0.239618138424821,13.575417661097852,0.007159904534606206,0.0,0.8465393794749403,16919.10208457637
