state_key,instance_id,dataset_origin,scale,search_stage,left,right,informative,spearman,same_top1,top5_overlap,top10_overlap
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.50,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,M,40-60%,U0_IMMEDIATE,U3_STOCHASTIC_ROBUSTNESS,False,,False,0,0
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.50,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,M,40-60%,U1_SHORT_HORIZON,U2_COST_NORMALIZED,False,,True,5,10
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.50,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,M,40-60%,U1_SHORT_HORIZON,U3_STOCHASTIC_ROBUSTNESS,False,,False,0,0
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.50,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,M,40-60%,U2_COST_NORMALIZED,U3_STOCHASTIC_ROBUSTNESS,False,,False,0,0
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.50,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,M,40-60%,U1_SHORT_HORIZON,U2_COST_NORMALIZED_TOP1,False,,True,,
CLEAN|CB1_TRAIN_M_CF3_RI1_TI1_R01:seed817000045:iteration2040,CB1_TRAIN_M_CF3_RI1_TI1_R01,CLEAN_NON_R12_DEVELOPMENT,M,40-60%,U0_IMMEDIATE,U1_SHORT_HORIZON,True,0.8647614492209571,True,4,9
CLEAN|CB1_TRAIN_M_CF3_RI1_TI1_R01:seed817000045:iteration2040,CB1_TRAIN_M_CF3_RI1_TI1_R01,CLEAN_NON_R12_DEVELOPMENT,M,40-60%,U0_IMMEDIATE,U2_COST_NORMALIZED,True,0.8656049002199876,True,4,9
CLEAN|CB1_TRAIN_M_CF3_RI1_TI1_R01:seed817000045:iteration2040,CB1_TRAIN_M_CF3_RI1_TI1_R01,CLEAN_NON_R12_DEVELOPMENT,M,40-60%,U0_IMMEDIATE,U3_STOCHASTIC_ROBUSTNESS,True,0.15519828828310617,False,2,2
CLEAN|CB1_TRAIN_M_CF3_RI1_TI1_R01:seed817000045:iteration2040,CB1_TRAIN_M_CF3_RI1_TI1_R01,CLEAN_NON_R12_DEVELOPMENT,M,40-60%,U1_SHORT_HORIZON,U2_COST_NORMALIZED,True,0.9999978750508659,True,5,10
CLEAN|CB1_TRAIN_M_CF3_RI1_TI1_R01:seed817000045:iteration2040,CB1_TRAIN_M_CF3_RI1_TI1_R01,CLEAN_NON_R12_DEVELOPMENT,M,40-60%,U1_SHORT_HORIZON,U3_STOCHASTIC_ROBUSTNESS,True,0.10090328145958993,False,2,2
CLEAN|CB1_TRAIN_M_CF3_RI1_TI1_R01:seed817000045:iteration2040,CB1_TRAIN_M_CF3_RI1_TI1_R01,CLEAN_NON_R12_DEVELOPMENT,M,40-60%,U2_COST_NORMALIZED,U3_STOCHASTIC_ROBUSTNESS,True,0.10113632156194957,False,2,2
CLEAN|CB1_TRAIN_M_CF3_RI1_TI1_R01:seed817000045:iteration2040,CB1_TRAIN_M_CF3_RI1_TI1_R01,CLEAN_NON_R12_DEVELOPMENT,M,40-60%,U1_SHORT_HORIZON,U2_COST_NORMALIZED_TOP1,True,,True,,
R12|CB1_CAUR_S_CF3_RI2_TI2_R12_C02|746102|0.85,CB1_CAUR_S_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,S,80-100%,U0_IMMEDIATE,U1_SHORT_HORIZON,False,,True,5,10
R12|CB1_CAUR_S_CF3_RI2_TI2_R12_C02|746102|0.85,CB1_CAUR_S_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,S,80-100%,U0_IMMEDIATE,U2_COST_NORMALIZED,False,,True,5,10
