arm,instance_id,scale,CF_level,seed,eligible_decisions,interventions,intervention_coverage,median_unique_bank_size,median_duplicate_rule_count,median_ni_overhead_ms_per_eligible_decision,cumulative_ni_overhead_fraction,median_uniform_rebuild_ms
Uniform full-bank selection,CB1_CORE_M_CF1_R02,M,CF1,530104,2347,102,0.04345973583297827,24.0,0.0,42.236340999807,0.42442777670454623,0.0
Uniform full-bank selection,CB1_CORE_M_CF1_R02,M,CF1,530105,2372,165,0.06956155143338955,24.0,0.0,42.32708850031486,0.42876507000350267,0.0
Uniform full-bank selection,CB1_CORE_M_CF2_R01,M,CF2,530101,2300,90,0.0391304347826087,24.0,0.0,43.94535699975677,0.4479573545337246,0.0
Uniform full-bank selection,CB1_CORE_M_CF2_R01,M,CF2,530102,2284,68,0.0297723292469352,24.0,0.0,45.91171350057266,0.46940759303732243,0.0
Uniform full-bank selection,CB1_CORE_M_CF2_R01,M,CF2,530103,2295,103,0.044880174291938996,24.0,0.0,43.42539000026591,0.44798046883541837,0.0
Uniform full-bank selection,CB1_CORE_M_CF2_R01,M,CF2,530104,2312,142,0.061418685121107264,24.0,0.0,44.64145199926861,0.45483396533788406,0.0
Uniform full-bank selection,CB1_CORE_M_CF2_R01,M,CF2,530105,2268,76,0.03350970017636684,24.0,0.0,43.137246500009496,0.45777452658295364,0.0
Uniform full-bank selection,CB1_CORE_M_CF2_R02,M,CF2,530101,2269,107,0.04715733803437638,24.0,0.0,41.74450600112323,0.4884464697042792,0.0
Uniform full-bank selection,CB1_CORE_M_CF2_R02,M,CF2,530102,2354,68,0.02888700084961767,24.0,0.0,40.999636000378814,0.4641447129402708,0.0
Uniform full-bank selection,CB1_CORE_M_CF2_R02,M,CF2,530103,2356,69,0.02928692699490662,24.0,0.0,40.96478150040639,0.47363703143592606,0.0
Uniform full-bank selection,CB1_CORE_M_CF2_R02,M,CF2,530104,2354,154,0.06542056074766354,24.0,0.0,41.149285499159305,0.4631632750589083,0.0
Uniform full-bank selection,CB1_CORE_M_CF2_R02,M,CF2,530105,2362,295,0.12489415749364945,24.0,0.0,40.85721600040415,0.4644900731811987,0.0
Uniform full-bank selection,CB1_CORE_M_CF3_R01,M,CF3,530101,2299,112,0.04871683340582862,24.0,0.0,41.53254599987122,0.47850357743279964,0.0
Uniform full-bank selection,CB1_CORE_M_CF3_R01,M,CF3,530102,2284,112,0.04903677758318739,24.0,0.0,42.049140000926855,0.4837453991684785,0.0
Uniform full-bank selection,CB1_CORE_M_CF3_R01,M,CF3,530103,2270,117,0.051541850220264314,24.0,0.0,41.746747500837955,0.48571077425240783,0.0
Uniform full-bank selection,CB1_CORE_M_CF3_R01,M,CF3,530104,2304,384,0.16666666666666666,24.0,0.0,42.10563549986546,0.48376379648304263,0.0
Uniform full-bank selection,CB1_CORE_M_CF3_R01,M,CF3,530105,2153,1295,0.6014862981885741,24.0,0.0,44.17048300092574,0.5021892329505309,2.1181569991313154
Uniform full-bank selection,CB1_CORE_M_CF3_R02,M,CF3,530101,2249,332,0.14762116496220543,24.0,0.0,46.37429200010956,0.4614323214379832,0.0
Uniform full-bank selection,CB1_CORE_M_CF3_R02,M,CF3,530102,2255,834,0.3698447893569845,24.0,0.0,46.424228999967454,0.45521256663496856,0.0
Uniform full-bank selection,CB1_CORE_M_CF3_R02,M,CF3,530103,2247,1216,0.5411659991099244,24.0,0.0,46.263288999398355,0.4534107195647191,2.3991439993551467
Uniform full-bank selection,CB1_CORE_M_CF3_R02,M,CF3,530104,2259,421,0.18636564851704293,24.0,0.0,46.01574799926311,0.4509212826134847,0.0
Uniform full-bank selection,CB1_CORE_M_CF3_R02,M,CF3,530105,2256,502,0.2225177304964539,24.0,0.0,46.11360300077649,0.4513097238623559,0.0
Uniform full-bank selection,CB1_CORE_S_CF1_R01,S,CF1,530101,2292,457,0.1993891797556719,23.0,1.0,32.21569000015734,0.621800258281803,0.0
Uniform full-bank selection,CB1_CORE_S_CF1_R01,S,CF1,530102,2284,83,0.03633975481611208,23.0,1.0,32.277671998599544,0.6306614354229586,0.0
Uniform full-bank selection,CB1_CORE_S_CF1_R01,S,CF1,530103,2298,60,0.02610966057441253,23.0,1.0,31.929524499901163,0.6302823641692611,0.0
Uniform full-bank selection,CB1_CORE_S_CF1_R01,S,CF1,530104,2326,92,0.03955288048151333,23.0,1.0,31.396793000567413,0.623863104663676,0.0
Uniform full-bank selection,CB1_CORE_S_CF1_R01,S,CF1,530105,2186,34,0.01555352241537054,23.0,1.0,34.597824499542185,0.6368843967461714,0.0
Uniform full-bank selection,CB1_CORE_S_CF1_R02,S,CF1,530101,2290,391,0.1707423580786026,23.0,1.0,33.34937599993282,0.6153369162054166,0.0
Uniform full-bank selection,CB1_CORE_S_CF1_R02,S,CF1,530102,2279,700,0.307152259763054,23.0,1.0,32.93522600142751,0.6105574112134938,0.0
Uniform full-bank selection,CB1_CORE_S_CF1_R02,S,CF1,530103,2275,217,0.09538461538461539,23.0,1.0,33.241646000533365,0.6200275207246311,0.0
Uniform full-bank selection,CB1_CORE_S_CF1_R02,S,CF1,530104,2304,899,0.3901909722222222,23.0,1.0,32.759499499661615,0.6144294954487387,0.0
Uniform full-bank selection,CB1_CORE_S_CF1_R02,S,CF1,530105,2298,409,0.17798085291557877,23.0,1.0,32.77970950148301,0.6157906293717539,0.0
Uniform full-bank selection,CB1_CORE_S_CF2_R01,S,CF2,530101,2308,81,0.03509532062391681,23.0,1.0,32.45285650064034,0.6218147222258993,0.0
Uniform full-bank selection,CB1_CORE_S_CF2_R01,S,CF2,530102,2301,115,0.04997827031725337,23.0,1.0,32.265400999676785,0.6160597662235516,0.0
Uniform full-bank selection,CB1_CORE_S_CF2_R01,S,CF2,530103,2305,191,0.08286334056399132,23.0,1.0,32.55710899975384,0.6240004491666503,0.0
Uniform full-bank selection,CB1_CORE_S_CF2_R01,S,CF2,530104,2295,21,0.009150326797385621,23.0,1.0,32.368060001317644,0.6206601023552136,0.0
Uniform full-bank selection,CB1_CORE_S_CF2_R01,S,CF2,530105,2271,57,0.02509907529722589,23.0,1.0,33.44466099952115,0.6200682467364677,0.0
Uniform full-bank selection,CB1_CORE_S_CF2_R02,S,CF2,530101,2244,3,0.001336898395721925,23.0,1.0,33.98609650139406,0.6334413716717759,0.0
Uniform full-bank selection,CB1_CORE_S_CF2_R02,S,CF2,530102,2296,2,0.0008710801393728223,23.0,1.0,32.180588499613805,0.6229325238568139,0.0
Uniform full-bank selection,CB1_CORE_S_CF2_R02,S,CF2,530103,2288,32,0.013986013986013986,23.0,1.0,32.17195700017328,0.6247102326150177,0.0
Uniform full-bank selection,CB1_CORE_S_CF2_R02,S,CF2,530104,2258,8,0.00354295837023915,23.0,1.0,33.05025099871273,0.6277231774902501,0.0
Uniform full-bank selection,CB1_CORE_S_CF2_R02,S,CF2,530105,2281,1,0.00043840420868040335,23.0,1.0,32.7163340007246,0.6262655685523223,0.0
Uniform full-bank selection,CB1_CORE_S_CF3_R01,S,CF3,530101,2278,9,0.003950834064969272,23.0,1.0,33.18906799904653,0.6209224473296943,0.0
Uniform full-bank selection,CB1_CORE_S_CF3_R01,S,CF3,530102,2288,14,0.006118881118881119,23.0,1.0,33.24370750124217,0.619714928777007,0.0
Uniform full-bank selection,CB1_CORE_S_CF3_R01,S,CF3,530103,2258,7,0.003100088573959256,23.0,1.0,33.53303350013448,0.6238927996060669,0.0
Uniform full-bank selection,CB1_CORE_S_CF3_R01,S,CF3,530104,2296,12,0.005226480836236934,23.0,1.0,32.873574000404915,0.6215646445421966,0.0
Uniform full-bank selection,CB1_CORE_S_CF3_R01,S,CF3,530105,2237,13,0.00581135449262405,23.0,1.0,35.04625700225006,0.6355801151070951,0.0
Uniform full-bank selection,CB1_CORE_S_CF3_R02,S,CF3,530101,1965,90,0.04580152671755725,23.0,1.0,38.646029999654274,0.6931725974559345,0.0
Uniform full-bank selection,CB1_CORE_S_CF3_R02,S,CF3,530102,2214,108,0.04878048780487805,23.0,1.0,31.8899350004358,0.6572205952023601,0.0
