instance,instance_seed,level,split,group,ppo_seed,bc_makespan,ppo_makespan,bc_o_ppo_mwf,ppo_o_bc_mwf,bc_om_ppo_wf,ppo_om_bc_wf,bc_omw_ppo_f,ppo_omw_bc_f,all_feasible
synthetic_L_73002,73002,L,phase5b_holdout,L,510102,6325.0,5993.0,5915.0,5244.0,5943.0,5974.0,5927.0,5974.0,True
synthetic_L_73003,73003,L,phase5b_holdout,L,510102,2807.0,3047.0,2725.0,2487.0,3020.0,2615.0,2519.0,3131.0,True
synthetic_L_73004,73004,L,phase5b_holdout,L,510102,2576.0,2365.0,2290.0,2421.0,2209.0,2448.0,2325.0,2448.0,True
synthetic_L_73005,73005,L,phase5b_holdout,L,510102,4748.0,5711.0,5369.0,4919.0,4996.0,4934.0,4686.0,6125.0,True
synthetic_L_73006,73006,L,phase5b_holdout,L,510102,2791.0,2708.0,2680.0,2805.0,2927.0,2659.0,2737.0,2668.0,True
synthetic_L_73007,73007,L,phase5b_holdout,L,510102,2184.0,2155.0,2172.0,2284.0,1987.0,2328.0,1987.0,2328.0,True
synthetic_L_73008,73008,L,phase5b_holdout,L,510102,3533.0,3344.0,3335.0,3333.0,3260.0,3635.0,3332.0,3565.0,True
synthetic_L_73009,73009,L,phase5b_holdout,L,510102,4234.0,3910.0,3812.0,4148.0,4031.0,4021.0,3885.0,4104.0,True
synthetic_L_73010,73010,L,phase5b_holdout,L,510102,5292.0,5137.0,5206.0,4691.0,5496.0,5171.0,5269.0,4914.0,True
synthetic_L_73011,73011,L,phase5b_holdout,L,510102,7852.0,8802.0,6640.0,8061.0,7693.0,7775.0,7600.0,8626.0,True
synthetic_L_73012,73012,L,phase5b_holdout,L,510102,5556.0,5050.0,5460.0,6188.0,5877.0,5836.0,5725.0,4933.0,True
synthetic_L_73013,73013,L,phase5b_holdout,L,510102,3012.0,3459.0,3685.0,2876.0,3467.0,3295.0,3254.0,3295.0,True
synthetic_L_73014,73014,L,phase5b_holdout,L,510102,2107.0,1925.0,2337.0,2223.0,1894.0,2465.0,1777.0,2093.0,True
