scale,CF_level,RI_level,TI_level,search_stage,bottleneck_proxy,arm_count,state_count,positive_fraction,mean_absolute_improvement,mean_relative_improvement,best_arm_fraction,mean_runtime,mean_decoder_evaluations
L,CF2,RI3,TI1,0-20%,W_LOGISTICS,266,19,0.13909774436090225,-234.3984962406015,-0.07660695001527741,0.07142857142857142,0.18643455569548323,8.0
L,CF2,RI3,TI1,20-40%,F_LOGISTICS,14,1,0.0,-213.5,-0.07436433298502264,0.07142857142857142,0.19469281292854898,8.0
L,CF2,RI3,TI1,20-40%,RECONFIGURATION,14,1,0.14285714285714285,-106.14285714285714,-0.03546370101665792,0.07142857142857142,0.1879582750712611,8.0
L,CF2,RI3,TI1,20-40%,W_LOGISTICS,320,23,0.021875,-226.925,-0.07829207948970088,0.071875,0.188833872690617,8.0
L,CF2,RI3,TI1,40-60%,W_LOGISTICS,347,25,0.0,-253.88184438040346,-0.08873884808822212,0.07204610951008646,0.18790561462533686,8.0
L,CF2,RI3,TI1,60-80%,W_LOGISTICS,346,25,0.005780346820809248,-247.11560693641619,-0.08637385771982391,0.07225433526011561,0.18569173558094035,8.0
L,CF2,RI3,TI1,80-100%,W_LOGISTICS,347,25,0.002881844380403458,-274.21613832853023,-0.09607416594798358,0.07204610951008646,0.19170255244671483,8.0
L,CF2,RI3,TI2,0-20%,RECONFIGURATION,112,8,0.45535714285714285,-68.03571428571429,-0.014296844222471525,0.07142857142857142,0.29131809211602494,8.0
L,CF2,RI3,TI2,0-20%,W_LOGISTICS,235,17,0.4595744680851064,-37.285106382978725,-0.008307679989442499,0.07234042553191489,0.28590679810640723,8.0
L,CF2,RI3,TI2,20-40%,W_LOGISTICS,347,25,0.011527377521613832,-375.94524495677234,-0.08099778128793719,0.07204610951008646,0.2889627213573859,8.0
L,CF2,RI3,TI2,40-60%,W_LOGISTICS,345,25,0.002898550724637681,-483.1159420289855,-0.10416471367593477,0.07246376811594203,0.2907133095855265,8.0
L,CF2,RI3,TI2,60-80%,W_LOGISTICS,346,25,0.0,-423.3005780346821,-0.09141835641780222,0.07225433526011561,0.2909739416676125,8.0
L,CF2,RI3,TI2,80-100%,W_LOGISTICS,347,25,0.005763688760806916,-302.8270893371758,-0.0658749378588592,0.07204610951008646,0.2907885806512542,8.0
L,CF2,RI3,TI3,0-20%,F_LOGISTICS,28,2,0.8571428571428571,265.4642857142857,0.02575844160226118,0.07142857142857142,0.1586189788928485,8.0
L,CF2,RI3,TI3,0-20%,RECONFIGURATION,98,7,0.40816326530612246,-42.795918367346935,-0.006815242830350307,0.07142857142857142,0.20192890273472364,8.0
