state_id,instance_id,target_set_id,oof_fold,scale,CF_level,search_stage,origin_family,primary_origin_rule,origin_destroy_operator,selected_winner,categorical_reason_count,numeric_reason_count,reason_count,multiple_causes,maximum_absolute_robust_z,categorical_reasons,numeric_reasons,reason_signature
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_28d92f3f1bb4cdcf272e,1,L,CF1,20-40%,LOCAL_PERTURBATION,related_replace_50,related,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_467dddd3bc89e3de1dbd,1,L,CF1,20-40%,ORIGINAL_OPERATOR,operator_related,related,False,0,2,2,True,1000000.0,,numeric_robust_z:critical_overlap_fraction+numeric_robust_z:is_fallback,numeric_robust_z:critical_overlap_fraction+numeric_robust_z:is_fallback
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_4f532b3e7150578998c1,1,L,CF1,20-40%,STRUCTURED_NEAR_NEIGHBOR,near_low_slack,related,False,0,1,1,False,115384.61538461539,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_6add88350c0b1b325341,1,L,CF1,20-40%,LOCAL_PERTURBATION,related_replace_25,related,False,0,1,1,False,76923.07692307694,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_73504a418d4870aefac5,1,L,CF1,20-40%,ORIGINAL_OPERATOR,operator_critical,critical,False,0,1,1,False,115384.61538461539,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_7bb2bd9cf42a81d017c8,1,L,CF1,20-40%,STRUCTURED_NEAR_NEIGHBOR,near_precedence_neighbor,related,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_9dfde1330328090f6753,1,L,CF1,20-40%,MATCHED_RANDOM,matched_random_1,random,False,0,1,1,False,76923.07692307694,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_adffbbc4518b00b268e9,1,L,CF1,20-40%,STRUCTURED_NEAR_NEIGHBOR,near_high_W_delay,related,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_b1bfb93851f3018ce891,1,L,CF1,20-40%,LOCAL_PERTURBATION,one_operation_swap,related,False,0,1,1,False,76923.07692307694,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_b2062c766cdd2dfbceb4,1,L,CF1,20-40%,STRUCTURED_NEAR_NEIGHBOR,near_high_F_delay,related,True,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
