instance_id,method,makespan,runtime_seconds,inference_seconds,feasible,family,training_seed,gap_to_bc_percent
HU_E_la10,H2,1603.0,0.016048217978095636,0.016048217978095636,True,Hurink E,NA,-2.0769700671960902
HU_E_la10,PHASE5B_DOWNSTREAM_PPO,1458.0,3.3453617639897857,2.8773384201631416,True,Hurink E,520101,-10.93463653023824
HU_E_la10,PHASE5B_DOWNSTREAM_PPO,1508.0,3.2864871119963937,2.824604301742511,True,Hurink E,520102,-7.880268784361637
HU_E_la10,PHASE5B_DOWNSTREAM_PPO,1725.0,3.317741880979156,2.838955029961653,True,Hurink E,520103,5.3756872327428225
HU_E_la11,BC_GREEDY,1627.0,2.3621934059774503,1.5412294688285328,True,Hurink E,BC,0.0
HU_E_la11,H1,1576.0,0.12504803398041986,0.12504803398041986,True,Hurink E,NA,-3.1346035648432697
HU_E_la11,H2,1645.0,0.02857819097698666,0.02857819097698666,True,Hurink E,NA,1.1063306699446835
HU_E_la11,PHASE5B_DOWNSTREAM_PPO,1623.0,4.960099173011258,4.142209909070516,True,Hurink E,520101,-0.24585125998770743
HU_E_la11,PHASE5B_DOWNSTREAM_PPO,1681.0,4.940021975984564,4.13053253327962,True,Hurink E,520102,3.31899200983405
HU_E_la11,PHASE5B_DOWNSTREAM_PPO,1647.0,5.024885067017749,4.159273436962394,True,Hurink E,520103,1.2292562999385372
HU_E_la12,BC_GREEDY,1974.0,2.3705306250194553,1.4938767828862183,True,Hurink E,BC,0.0
HU_E_la12,H1,1634.0,0.127243164984975,0.127243164984975,True,Hurink E,NA,-17.223910840932117
HU_E_la12,H2,1746.0,0.0333309110137634,0.0333309110137634,True,Hurink E,NA,-11.55015197568389
HU_E_la12,PHASE5B_DOWNSTREAM_PPO,1808.0,5.048821080999915,4.162733906094218,True,Hurink E,520101,-8.409321175278622
HU_E_la12,PHASE5B_DOWNSTREAM_PPO,1761.0,4.913307796989102,4.088992593053263,True,Hurink E,520102,-10.790273556231003
HU_E_la12,PHASE5B_DOWNSTREAM_PPO,1853.0,5.099127230991144,4.200230768095935,True,Hurink E,520103,-6.12968591691996
HU_E_la13,BC_GREEDY,1804.0,2.3913975080067758,1.506255854968913,True,Hurink E,BC,0.0
HU_E_la13,H1,1755.0,0.12233453799854033,0.12233453799854033,True,Hurink E,NA,-2.7161862527716187
HU_E_la13,H2,1700.0,0.03095486297388561,0.03095486297388561,True,Hurink E,NA,-5.764966740576496
HU_E_la13,PHASE5B_DOWNSTREAM_PPO,1823.0,5.003757072001463,4.1879213778011035,True,Hurink E,520101,1.0532150776053215
HU_E_la13,PHASE5B_DOWNSTREAM_PPO,1773.0,4.975207715004217,4.109647114033578,True,Hurink E,520102,-1.7184035476718404
HU_E_la13,PHASE5B_DOWNSTREAM_PPO,1739.0,4.954532805015333,4.1255645212950185,True,Hurink E,520103,-3.6031042128603104
